period,period_version,is_active,title,source_url,document_date,discovered_at_utc,error
201411,1,True,11/2014,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201411BANCOS.ZIP,2014-11-01T02:00:00Z,2026-08-10T23:53:12+00:00,
201410,1,True,10/2014,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201410BANCOS.ZIP,2014-10-01T03:00:00Z,2026-08-10T23:53:12+00:00,
201409,1,True,09/2014,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201409BANCOS.ZIP,2014-09-01T03:00:00Z,2026-08-10T23:53:12+00:00,
201408,1,True,08/2014,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201408BANCOS.ZIP,2014-08-01T03:00:00Z,2026-08-10T23:53:12+00:00,
201407,1,True,07/2014,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201407BANCOS.ZIP,2014-07-01T03:00:00Z,2026-08-10T23:53:12+00:00,
201406,1,True,06/2014,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201406BANCOS.ZIP,2014-06-01T03:00:00Z,2026-08-10T23:53:12+00:00,
201405,1,True,05/2014,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201405BANCOS.ZIP,2014-05-01T03:00:00Z,2026-08-10T23:53:12+00:00,
201404,1,True,04/2014,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201404BANCOS.zip,2014-04-01T03:00:00Z,2026-08-10T23:53:12+00:00,
201403,1,True,03/2014,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201403BANCOS.zip,2014-03-01T03:00:00Z,2026-08-10T23:53:12+00:00,
201402,1,True,02/2014,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201402BANCOS.zip,2014-02-01T02:00:00Z,2026-08-10T23:53:12+00:00,
201401,1,True,01/2014,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201401BANCOS.zip,2014-01-01T02:00:00Z,2026-08-10T23:53:12+00:00,
201312,1,True,12/2013,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201312BANCOS.zip,2013-12-01T02:00:00Z,2026-08-10T23:53:12+00:00,
201311,1,True,11/2013,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201311BANCOS.ZIP,2013-11-01T02:00:00Z,2026-08-10T23:53:12+00:00,
201310,1,True,10/2013,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201310BANCOS.ZIP,2013-10-01T03:00:00Z,2026-08-10T23:53:12+00:00,
201309,1,True,09/2013,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201309BANCOS.ZIP,2013-09-01T03:00:00Z,2026-08-10T23:53:12+00:00,
201308,1,True,08/2013,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201308BANCOS.ZIP,2013-08-01T03:00:00Z,2026-08-10T23:53:12+00:00,
201307,1,True,07/2013,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201307BANCOS.ZIP,2013-07-01T03:00:00Z,2026-08-10T23:53:12+00:00,
201306,1,True,06/2013,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201306BANCOS.ZIP,2013-06-01T03:00:00Z,2026-08-10T23:53:12+00:00,
201305,1,True,05/2013,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201305BANCOS.ZIP,2013-05-01T03:00:00Z,2026-08-10T23:53:12+00:00,
201304,1,True,04/2013,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201304BANCOS.ZIP,2013-04-01T03:00:00Z,2026-08-10T23:53:12+00:00,
201303,1,True,03/2013,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201303BANCOS.ZIP,2013-03-01T03:00:00Z,2026-08-10T23:53:12+00:00,
201302,1,True,02/2013,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201302BANCOS.ZIP,2013-02-01T02:00:00Z,2026-08-10T23:53:12+00:00,
201301,1,True,01/2013,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201301BANCOS.ZIP,2013-01-01T02:00:00Z,2026-08-10T23:53:12+00:00,
201212,1,True,12/2012,https://www.bcb.gov.br/content/estabilidadefinanceira/cosif/Bancos/201212BANCOS.ZIP,2012-12-01T02:00:00Z,2026-08-10T23:53:12+00:00,
